"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"puppeteer/puppeteer","TypeScript",6211,701,"2026-08-19T14:04:57.322Z"
"oven-sh/bun","Rust",9792,214,"2026-08-19T14:04:57.322Z"
"ryanmcdermott/clean-code-javascript","JavaScript",149,0,"2026-08-19T14:04:57.322Z"
"microsoft/playwright","TypeScript",17715,165,"2026-08-19T14:04:57.322Z"
"nvm-sh/nvm","Shell",761,74,"2026-08-19T14:04:57.322Z"
"iluwatar/java-design-patterns","Java",1578,0,"2026-08-19T14:04:57.322Z"
"karpathy/autoresearch","Python",7,0,"2026-08-19T14:04:57.322Z"
"earendil-works/pi","TypeScript",910,255,"2026-08-19T14:04:57.322Z"
"punkpeye/awesome-mcp-servers","N/A",3391,0,"2026-08-19T14:04:57.322Z"
"deepseek-ai/DeepSeek-R1","N/A",10,1,"2026-08-19T14:04:57.322Z"
"3b1b/manim","Python",702,13,"2026-08-19T14:04:57.322Z"
"thedotmack/claude-mem","JavaScript",509,307,"2026-08-19T14:04:57.322Z"
"ruvnet/RuView","Rust",402,284,"2026-08-19T14:04:57.322Z"
"storybookjs/storybook","TypeScript",13132,1000,"2026-08-19T14:04:57.322Z"
"opencv/opencv","C++",14058,69,"2026-08-19T14:04:57.322Z"
"louislam/uptime-kuma","JavaScript",1816,131,"2026-08-19T14:04:57.322Z"
"PanJiaChen/vue-element-admin","Vue",311,49,"2026-08-19T14:04:57.322Z"
"home-assistant/core","Python",90122,1000,"2026-08-19T14:04:57.322Z"
"bitcoin/bitcoin","C++",16825,68,"2026-08-19T14:04:57.322Z"
"Stirling-Tools/Stirling-PDF","Java",4108,186,"2026-08-19T14:04:57.322Z"
"mermaid-js/mermaid","TypeScript",2817,206,"2026-08-19T14:04:57.322Z"
"sherlock-project/sherlock","Python",744,2,"2026-08-19T14:04:57.322Z"
"modelcontextprotocol/servers","TypeScript",1228,27,"2026-08-19T14:04:57.322Z"
"microsoft/ML-For-Beginners","Jupyter Notebook",496,0,"2026-08-19T14:04:57.322Z"
"gohugoio/hugo","Go",3483,381,"2026-08-19T14:04:57.322Z"
"vllm-project/vllm","Python",20094,103,"2026-08-19T14:04:57.322Z"
"nexu-io/open-design","TypeScript",2874,27,"2026-08-19T14:04:57.322Z"
"gin-gonic/gin","Go",1248,29,"2026-08-19T14:04:57.322Z"
"astral-sh/uv","Rust",10133,303,"2026-08-19T14:04:57.322Z"
"zed-industries/zed","Rust",26432,1000,"2026-08-19T14:04:57.322Z"
